type,gene,db_xref,start,end,length,strand,product
CDS,PPE1,GI:31791274,105360,106751,1393,1,PPE FAMILY PROTEIN
CDS,none,GI:31791275,106770,107639,871,1,POSSIBLE OXIDOREDUCTASE
CDS,none,GI:31791276,107636,108187,553,1,hypothetical protein
CDS,fadD10,GI:31791277,108192,109814,1624,1,acyl-CoA synthase
CDS,none,GI:31791278,109819,110055,238,1,hypothetical protein
CDS,nrp,GI:31791279,110037,117575,7540,1,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE)
CDS,none,GI:31791280,117750,119735,1987,1,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
CDS,ctpB,GI:31791281,119951,122209,2260,-1,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB
CDS,none,GI:31791282,122353,123867,1516,1,hypothetical protein
CDS,rpmB1,GI:31791283,124016,124300,286,-1,PROBABLE 50S RIBOSOMAL PROTEIN L28-1 RPMB1
CDS,none,GI:31791284,124410,125606,1198,1,hypothetical protein
CDS,ctpI,GI:31791285,125701,130578,4879,-1,PROBABLE CATION-TRANSPORTER ATPASE I CTPI
CDS,none,GI:31791286,130932,131141,211,-1,hypothetical protein
CDS,PE_PGRS1,GI:31791287,131420,132910,1492,1,PE-PGRS FAMILY PROTEIN
CDS,none,GI:31791288,133058,133807,751,1,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
CDS,none,GI:31791289,133988,136045,2059,1,POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE
CDS,gca,GI:31791290,136327,137283,958,1,"POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE)"
CDS,gmhA,GI:31791291,137357,137947,592,1,PROBABLE PHOSPHOHEPTOSE ISOMERASE GMHA
CDS,none,GI:31791292,137979,138551,574,1,POSSIBLE DEHYDRATASE
CDS,none,GI:31791293,138702,139619,919,1,POSSIBLE SUGAR KINASE
CDS,none,GI:31791294,140307,141062,757,-1,POSSIBLE CONSERVED MEMBRANE PROTEIN
CDS,oxyS,GI:31791295,141240,142184,946,1,OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS
CDS,oxcA,GI:31791296,142168,143916,1750,-1,hypothetical protein
CDS,fadD7,GI:31791297,144089,145666,1579,1,acyl-CoA synthase
CDS,fusA2b,GI:31791298,145667,147460,1795,-1,translation elongation factor EF-G
CDS,fusA2a,GI:31791299,147457,147810,355,-1,PROBABLE ELONGATION FACTOR G FUSA2A [FIRST PART] (EF-G)
CDS,none,GI:31791300,147946,148380,436,-1,hypothetical protein
CDS,none,GI:31791301,148529,148897,370,1,hypothetical protein
CDS,none,GI:31791302,148894,149262,370,1,hypothetical protein
CDS,PE_PGRS2,GI:31791303,149571,151187,1618,1,PE-PGRS FAMILY PROTEIN
CDS,pepA,GI:31791304,151339,152406,1069,1,PROBABLE SERINE PROTEASE PEPA
CDS,treS,GI:31791305,152515,154320,1807,1,TREHALOSE SYNTHASE TRES
CDS,none,GI:31791306,154423,155790,1369,1,hypothetical protein
CDS,none,GI:31791307,155858,156637,781,1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,fbpC,GI:31791308,156769,157791,1024,-1,SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C)
CDS,none,GI:31791309,158038,158493,457,1,hypothetical protein
CDS,fadE1,GI:31791310,158506,159849,1345,-1,PROBABLE ACYL-CoA DEHYDROGENASE FADE1
CDS,fgd2,GI:31791311,159891,160973,1084,-1,PUTATIVE F420-DEPENDANT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2
CDS,none,GI:31791312,161060,161665,607,1,PUTATIVE ACETYLTRANSFERASE
CDS,none,GI:31791313,162834,163439,607,-1,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,cyp138,GI:31791314,163556,164881,1327,1,PROBABLE CYTOCHROME P450 138 CYP138
CDS,msrA,GI:31791315,164902,165450,550,-1,methionine sulfoxide reductase A
CDS,none,GI:31791316,165513,166016,505,1,hypothetical protein
CDS,none,GI:31791317,166017,167039,1024,1,PUTATIVE OXIDOREDUCTASE
CDS,none,GI:31791318,167100,167480,382,1,hypothetical protein
CDS,none,GI:31791319,167461,167871,412,-1,hypothetical protein
CDS,none,GI:31791320,167901,168827,928,1,hypothetical protein
CDS,none,GI:31791321,168894,170372,1480,-1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791322,170474,171316,844,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
CDS,none,GI:31791323,171405,172358,955,1,hypothetical protein
CDS,none,GI:31791324,172401,173333,934,1,hypothetical protein
CDS,none,GI:31791325,173428,174948,1522,1,PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDANT
CDS,none,GI:31791326,175023,175883,862,1,PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE
CDS,none,GI:31791327,175890,176858,970,1,PUTATIVE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN)
CDS,none,GI:31791328,176855,177142,289,-1,hypothetical protein
CDS,PE1,GI:31791329,177733,179499,1768,-1,PE FAMILY PROTEIN
CDS,PE2,GI:31791330,179509,181086,1579,-1,PE FAMILY PROTEIN
CDS,ptbB,GI:31791331,181345,182175,832,-1,PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase)
CDS,fadE2,GI:31791332,182177,183388,1213,-1,PROBABLE ACYL-CoA DEHYDROGENASE FADE2
CDS,pntAa,GI:31791333,183812,184912,1102,1,PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAa [FIRST PART; CATALYTIC PART] (PYRIDINE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT ALPHA) (NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT ALPHA)
CDS,pntAb,GI:31791334,184913,185245,334,1,PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAb [SECOND PART; INTEGRAL MEMBRANE PROTEIN] (PYRIDINE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT ALPHA) (NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT ALPHA)
CDS,pntB,GI:31791335,185242,186669,1429,1,PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB [INTEGRAL MEMBRANE PROTEIN] (PYRIDINE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT BETA) (NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT BETA)
CDS,none,GI:31791336,186975,187619,646,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
CDS,PE3,GI:31791337,187623,189029,1408,-1,PE FAMILY PROTEIN
CDS,PE4,GI:31791338,189121,190629,1510,-1,PE FAMILY PROTEIN
CDS,none,GI:31791339,190797,192146,1351,1,PUTATIVE OXIDOREDUCTASE
CDS,adhE1,GI:31791340,192174,193325,1153,-1,PUTATIVE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE
CDS,none,GI:31791341,193307,193762,457,1,hypothetical protein
CDS,TB18.5,GI:31791342,193816,194301,487,1,hypothetical protein
CDS,none,GI:31791343,194315,195130,817,-1,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
CDS,fadD5,GI:31791344,195185,196849,1666,1,acyl-CoA synthase
CDS,yrbE1A,GI:31791345,197053,197850,799,1,CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A
CDS,yrbE1B,GI:31791346,197852,198721,871,1,CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B
CDS,mce1A,GI:31791347,198726,200090,1366,1,MCE-FAMILY PROTEIN MCE1A
CDS,mce1B,GI:31791348,200087,201127,1042,1,MCE-FAMILY PROTEIN MCE1B
CDS,mce1C,GI:31791349,201124,202671,1549,1,MCE-FAMILY PROTEIN MCE1C
CDS,mce1D,GI:31791350,202668,204260,1594,1,MCE-FAMILY PROTEIN MCE1D
CDS,lprK,GI:31791351,204257,205429,1174,1,POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E)
CDS,mce1F,GI:31791352,205423,206970,1549,1,MCE-FAMILY PROTEIN MCE1F
CDS,none,GI:31791353,207006,207647,643,1,PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN
CDS,none,GI:31791354,207644,208612,970,1,PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791355,208609,209163,556,1,PROBABLE CONSERVED MCE ASSOCIATED PROTEIN
CDS,none,GI:31791356,209130,209864,736,1,PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN
CDS,lprO,GI:31791357,209895,211004,1111,-1,PUTATIVE LIPOPROTEIN LPRO
CDS,none,GI:31791358,211084,212442,1360,-1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791359,212469,213203,736,-1,hypothetical protein
CDS,sigG,GI:31791360,213220,214332,1114,-1,RNA polymerase sigma-70 factor
CDS,none,GI:31791361,214280,215119,841,1,POSSIBLE LYSOPHOSPHOLIPASE
CDS,none,GI:31791362,215161,215910,751,1,hypothetical protein
CDS,none,GI:31791363,215907,216416,511,1,hypothetical protein
CDS,bglS,GI:31791364,216461,218536,2077,1,PROBABLE BETA-GLUCOSIDASE BGLS (GENTIOBIASE) (CELLOBIASE) (BETA-D-GLUCOSIDE GLUCOHYDROLASE)
CDS,none,GI:31791365,218897,219559,664,1,PROBABLE O-METHYLTRANSFERASE
CDS,none,GI:31791366,219678,220109,433,1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,ilvD,GI:31791367,220188,221915,1729,-1,dihydroxy-acid dehydratase
CDS,none,GI:31791368,222063,222353,292,1,hypothetical protein
CDS,none,GI:31791369,222481,223722,1243,1,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
CDS,none,GI:31791370,223799,224857,1060,1,hypothetical protein
CDS,none,GI:31791371,224917,226764,1849,-1,hypothetical protein
CDS,none,GI:31791372,227071,230655,3586,1,PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
CDS,none,GI:31791373,231093,231728,637,1,PUTATIVE TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY)
CDS,none,GI:31791374,231841,232425,586,1,PUTATIVE TRANSCRIPTIONAL REGULATORY PROTEIN
CDS,none,GI:31791375,232425,234671,2248,1,POSSIBLE OXIDOREDUCTASE
CDS,none,GI:31791376,234712,236703,1993,-1,PROBABLE ZINC METALLOPROTEASE
CDS,none,GI:31791377,236746,237405,661,1,PROBABLE CONSERVED MEMBRANE PROTEIN
CDS,none,GI:31791378,237402,238091,691,1,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791379,238088,238591,505,-1,hypothetical protein
CDS,mmpL11,GI:31791380,238588,241488,2902,-1,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL11
CDS,none,GI:31791381,241710,242120,412,1,POSSIBLE EXPORTED PROTEIN
CDS,none,GI:31791382,242172,243455,1285,-1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791383,243580,244683,1105,1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,mmpL3,GI:31791384,244680,247514,2836,-1,POSSIBLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL3
CDS,none,GI:31791385,247580,248308,730,-1,hypothetical protein
CDS,trmB,GI:31791386,248311,249102,793,-1,tRNA (guanine-N(7)-)-methyltransferase
CDS,none,GI:31791387,249234,250319,1087,1,hypothetical protein
CDS,none,GI:31791388,250316,251794,1480,1,hypothetical protein
CDS,pckA,GI:31791389,251978,253798,1822,1,phosphoenolpyruvate carboxykinase (GTP)
CDS,nadR,GI:31791390,253865,254836,973,-1,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN NADR (PROBABLY ASNC-FAMILY)
CDS,none,GI:31791391,254833,256146,1315,-1,POSSIBLE METHYLTRANSFERASE (METHYLASE)
CDS,fadD4,GI:31791392,256260,257873,1615,1,acyl-CoA synthase
CDS,fadE3,GI:31791393,257915,259081,1168,-1,PROBABLE ACYL-COA DEHYDROGENASE FADE3
CDS,none,GI:31791394,259138,260151,1015,1,hypothetical protein
CDS,lipW,GI:31791395,260148,261056,910,-1,POSSIBLE ESTERASE LIPW
CDS,none,GI:31791396,261149,262477,1330,1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791397,262479,263027,550,1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,lipC,GI:31791398,263037,264248,1213,1,PROBABLE ESTERASE LIPC
CDS,none,GI:31791399,264292,265065,775,1,hypothetical protein
CDS,none,GI:31791400,264931,266088,1159,-1,PROBABLE ALDEHYDE DEHYDROGENASE
CDS,none,GI:31791401,266187,266951,766,-1,POSSIBLE METHYLTRANSFERASE (METHYLASE)
CDS,none,GI:31791402,266987,268141,1156,1,POSSIBLE CONSERVED PROTEIN
CDS,none,GI:31791403,268158,269888,1732,-1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791404,269898,271163,1267,-1,PROBABLE CONSERVED MEMBRANE PROTEIN
CDS,none,GI:31791405,271379,272602,1225,1,PROBABLE INTEGRAL MEMBRANE ACYLTRANSFERASE
CDS,none,GI:31791406,272630,273310,682,-1,POSSIBLE CONSERVED MEMBRANE PROTEIN
CDS,php,GI:31791407,273307,274287,982,-1,PROBABLE PHOSPHOTRIESTERASE PHP (PARATHION HYDROLASE) (PTE) (ARYLDIALKYLPHOSPHATASE) (PARAOXONASE) (A-ESTERASE) (ARYLTRIPHOSPHATASE) (PARAOXON HYDROLASE)
CDS,fadE4,GI:31791408,274382,276088,1708,1,PROBABLE ACYL-COA DEHYDROGENASE FADE4
CDS,none,GI:31791409,276223,276912,691,1,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR/ACRR-FAMILY)
CDS,nrdB,GI:31791410,276909,277853,946,1,ribonucleotide-diphosphate reductase beta subunit
CDS,gabD1,GI:31791411,277929,279464,1537,-1,succinic semialdehyde dehydrogenase
CDS,none,GI:31791412,279490,280938,1450,-1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791413,280973,285175,4204,-1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
CDS,none,GI:31791414,285222,285395,175,-1,SMALL SECRETED PROTEIN
CDS,lpqI,GI:31791415,285510,286676,1168,1,PROBABLE CONSERVED LIPOPROTEIN LPQI
CDS,none,GI:31791416,286752,287366,616,1,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)
CDS,none,GI:31791417,287428,287661,235,1,hypothetical protein
CDS,none,GI:31791418,287669,288106,439,1,hypothetical protein
CDS,none,GI:31791419,288136,288978,844,-1,hypothetical protein
CDS,fabG,GI:31791420,288989,290353,1366,-1,3-ketoacyl-(acyl-carrier-protein) reductase
CDS,fadA2,GI:31791421,290495,291817,1324,1,acetyl-CoA acetyltransferase
CDS,fadE5,GI:31791422,292123,293958,1837,-1,PROBABLE ACYL-COA DEHYDROGENASE FADE5
CDS,none,GI:31791423,294330,294818,490,1,PUTATIVE OXIDOREDUCTASE
CDS,none,GI:31791424,295134,296444,1312,1,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
CDS,none,GI:31791425,296441,297187,748,-1,succinate dehydrogenase
CDS,none,GI:31791426,297188,299128,1942,-1,succinate dehydrogenase
CDS,none,GI:31791427,299159,299980,823,-1,PUTATIVE SUCCINATE DEHYDROGENASE [MEMBRANE ANCHOR SUBUNIT] (SUCCINIC DEHYDROGENASE)
CDS,none,GI:31791428,300060,300353,295,-1,hypothetical protein
CDS,hsp,GI:31791429,300498,300977,481,-1,HEAT SHOCK PROTEIN HSP (HEAT-STRESS-INDUCED RIBOSOME-BINDING PROTEIN A)
CDS,nirB,GI:31791430,301191,303752,2563,1,PROBABLE NITRITE REDUCTASE [NAD(P)H] LARGE SUBUNIT [FAD FLAVOPROTEIN] NIRB
CDS,nirD,GI:31791431,303778,304134,358,1,PROBABLE NITRITE REDUCTASE [NAD(P)H] SMALL SUBUNIT NIRD
CDS,cobU,GI:31791432,304150,304674,526,-1,PUTATIVE BIFUNCTIONAL COBALAMIN BIOSYNTHESIS PROTEIN COBU: COBINAMIDE KINASE + COBINAMIDE PHOSPHATE GUANYLYLTRANSFERASE
CDS,cobQ1,GI:31791433,304699,306183,1486,-1,cobyric acid synthase
CDS,PPE2,GI:31791434,306202,307872,1672,-1,PPE FAMILY PROTEIN
CDS,none,GI:31791435,308180,308398,220,1,hypothetical protein
CDS,none,GI:31791436,308619,309074,457,-1,hypothetical protein
CDS,none,GI:31791437,309099,309842,745,-1,hypothetical protein
CDS,none,GI:31791438,309839,310984,1147,-1,uroporphyrinogen-III synthetase
